Deviation,EIId,EIName,DSignal,dataOk,IndexRelease,PreReleasePrice,SpikeMaximumPrice,Direction,SpikePips,EventDate,symbol
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"0,962","0,9615",Short,"4,99999999999945",2015-07-23 08:30:00 AM,AUDCAD
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"91,71","91,724",Long,"1,400000000001",2015-07-23 08:30:00 AM,AUDJPY
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"1,1079","1,1076",Short,"3,00000000000189",2015-07-23 08:30:00 AM,AUDNZD
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"0,7407","0,7409",Long,"1,99999999999978",2015-07-23 08:30:00 AM,AUDUSD
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"95,338","95,387",Long,"4,90000000000066",2015-07-23 08:30:00 AM,CADJPY
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"1,48363","1,48288",Short,"7,50000000000028",2015-07-23 08:30:00 AM,EURAUD
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"1,42705","1,42602",Short,"10,2999999999986",2015-07-23 08:30:00 AM,EURCAD
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"1,04861","1,04887",Long,"2,59999999999927",2015-07-23 08:30:00 AM,EURCHF
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"0,70179","0,7039",Long,"21,0999999999995",2015-07-23 08:30:00 AM,EURGBP
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"308,72","308,77",Long,"0,000499999999999545",2015-07-23 08:30:00 AM,EURHUF
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"136,02","136,06",Long,"3,9999999999992",2015-07-23 08:30:00 AM,EURJPY
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"8,9618","8,9567",Short,"5,10000000000055",2015-07-23 08:30:00 AM,EURNOK
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"4,1282","4,125",Short,"31,9999999999965",2015-07-23 08:30:00 AM,EURPLN
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"9,4123","9,414",Long,"1,69999999999959",2015-07-23 08:30:00 AM,EURSEK
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"1,5014","1,5018",Long,"3,99999999999956",2015-07-23 08:30:00 AM,EURSGD
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"1,0988","1,0986",Short,"1,99999999999978",2015-07-23 08:30:00 AM,EURUSD
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"1,4942","1,4893",Short,"48,999999999999",2015-07-23 08:30:00 AM,GBPCHF
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"193,835","193,28",Short,"55,5000000000007",2015-07-23 08:30:00 AM,GBPJPY
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"13,4121","13,3764",Short,"35,7000000000003",2015-07-23 08:30:00 AM,GBPSEK
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"1,5657","1,5611",Short,"46,0000000000016",2015-07-23 08:30:00 AM,GBPUSD
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"82,779","82,802",Long,"2,30000000000103",2015-07-23 08:30:00 AM,NZDJPY
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"0,6686","0,6688",Long,"1,99999999999978",2015-07-23 08:30:00 AM,NZDUSD
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"1,2987","1,2979",Short,"7,99999999999912",2015-07-23 08:30:00 AM,USDCAD
"-0,6",1339,UK RS ex Auto MoM,0,True,30,"0,9544","0,9542",Short,"1,99999999999978",2015-07-23 08:30:00 AM,USDCHF
"0,3",1339,UK RS ex Auto MoM,0,True,30,"0,9591","0,9596",Long,"5,00000000000056",2015-08-20 08:30:00 AM,AUDCAD
"0,3",1339,UK RS ex Auto MoM,0,True,30,"90,453","90,431",Short,"2,20000000000056",2015-08-20 08:30:00 AM,AUDJPY
"0,3",1339,UK RS ex Auto MoM,0,True,30,"1,1073","1,107",Short,"2,99999999999967",2015-08-20 08:30:00 AM,AUDNZD
"0,3",1339,UK RS ex Auto MoM,0,True,30,"0,7291","0,729",Short,"0,99999999999989",2015-08-20 08:30:00 AM,AUDUSD
"0,3",1339,UK RS ex Auto MoM,0,True,30,"94,319","94,249",Short,"7,00000000000074",2015-08-20 08:30:00 AM,CADJPY
"0,3",1339,UK RS ex Auto MoM,0,True,30,"1,52496","1,52616",Long,"11,9999999999987",2015-08-20 08:30:00 AM,EURAUD
"0,3",1339,UK RS ex Auto MoM,0,True,30,"1,46263","1,46443",Long,"17,999999999998",2015-08-20 08:30:00 AM,EURCAD
"0,3",1339,UK RS ex Auto MoM,0,True,30,"1,0721","1,07261",Long,"5,1000000000001",2015-08-20 08:30:00 AM,EURCHF
"0,3",1339,UK RS ex Auto MoM,0,True,30,"0,71061","0,71169",Long,"10,8000000000008",2015-08-20 08:30:00 AM,EURGBP
"0,3",1339,UK RS ex Auto MoM,0,True,30,"312,49","312,54",Long,"0,000500000000000114",2015-08-20 08:30:00 AM,EURHUF
"0,3",1339,UK RS ex Auto MoM,0,True,30,"137,97","138,04",Long,"6,99999999999932",2015-08-20 08:30:00 AM,EURJPY
"0,3",1339,UK RS ex Auto MoM,0,True,30,"9,2469","9,2425",Short,"4,4000000000004",2015-08-20 08:30:00 AM,EURNOK
"0,3",1339,UK RS ex Auto MoM,0,True,30,"4,1913","4,192",Long,"7,00000000000145",2015-08-20 08:30:00 AM,EURPLN
"0,3",1339,UK RS ex Auto MoM,0,True,30,"9,4735","9,4692",Short,"4,29999999999886",2015-08-20 08:30:00 AM,EURSEK
"0,3",1339,UK RS ex Auto MoM,0,True,30,"1,5645","1,5659",Long,"14,0000000000007",2015-08-20 08:30:00 AM,EURSGD
"0,3",1339,UK RS ex Auto MoM,0,True,30,"1,1122","1,1128",Long,"5,99999999999934",2015-08-20 08:30:00 AM,EURUSD
"0,3",1339,UK RS ex Auto MoM,0,True,30,"1,5089","1,5072",Short,"16,9999999999981",2015-08-20 08:30:00 AM,GBPCHF
"0,3",1339,UK RS ex Auto MoM,0,True,30,"194,164","193,966",Short,"19,7999999999979",2015-08-20 08:30:00 AM,GBPJPY
"0,3",1339,UK RS ex Auto MoM,0,True,30,"13,3336","13,3109",Short,"22,7000000000004",2015-08-20 08:30:00 AM,GBPSEK
"0,3",1339,UK RS ex Auto MoM,0,True,30,"1,5651","1,5636",Short,"14,9999999999983",2015-08-20 08:30:00 AM,GBPUSD
"0,3",1339,UK RS ex Auto MoM,0,True,30,"81,693","81,674",Short,"1,89999999999912",2015-08-20 08:30:00 AM,NZDJPY
"0,3",1339,UK RS ex Auto MoM,0,True,30,"0,6585","0,6584",Short,"0,99999999999989",2015-08-20 08:30:00 AM,NZDUSD
"0,3",1339,UK RS ex Auto MoM,0,True,30,"1,3154","1,3161",Long,"7,00000000000145",2015-08-20 08:30:00 AM,USDCAD
"0,3",1339,UK RS ex Auto MoM,0,True,30,"0,9641","0,9638",Short,"2,99999999999967",2015-08-20 08:30:00 AM,USDCHF
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"0,9455","0,9452",Short,"2,99999999999967",2015-09-17 08:30:00 AM,AUDCAD
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"86,616","86,586",Short,"3,00000000000011",2015-09-17 08:30:00 AM,AUDJPY
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"1,1293","1,1289",Short,"3,99999999999956",2015-09-17 08:30:00 AM,AUDNZD
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"0,7166","0,7164",Short,"1,99999999999978",2015-09-17 08:30:00 AM,AUDUSD
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"91,636","91,613",Short,"2,29999999999961",2015-09-17 08:30:00 AM,CADJPY
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"1,58153","1,58201",Long,"4,79999999999814",2015-09-17 08:30:00 AM,EURAUD
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"1,49521","1,49492",Short,"2,89999999999901",2015-09-17 08:30:00 AM,EURCAD
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"1,09613","1,09646",Long,"3,29999999999941",2015-09-17 08:30:00 AM,EURCHF
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"0,73089","0,73032",Short,"5,7000000000007",2015-09-17 08:30:00 AM,EURGBP
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"312,35","312,3",Short,"0,000500000000000114",2015-09-17 08:30:00 AM,EURHUF
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"137,02","136,97",Short,"5,00000000000114",2015-09-17 08:30:00 AM,EURJPY
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"9,1888","9,1942",Long,"5,39999999999985",2015-09-17 08:30:00 AM,EURNOK
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"4,204","4,2048",Long,"7,99999999999912",2015-09-17 08:30:00 AM,EURPLN
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"9,3448","9,344",Short,"0,799999999999912",2015-09-17 08:30:00 AM,EURSEK
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"1,5854","1,5859",Long,"5,00000000000167",2015-09-17 08:30:00 AM,EURSGD
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"1,1333","1,1331",Short,"1,99999999999978",2015-09-17 08:30:00 AM,EURUSD
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"1,4997","1,5011",Long,"14,0000000000007",2015-09-17 08:30:00 AM,GBPCHF
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"187,456","187,53",Long,"7,40000000000123",2015-09-17 08:30:00 AM,GBPJPY
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"12,7871","12,7934",Long,"6,29999999999953",2015-09-17 08:30:00 AM,GBPSEK
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"1,5508","1,5514",Long,"5,99999999999934",2015-09-17 08:30:00 AM,GBPUSD
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"76,699","76,685",Short,"1,39999999999958",2015-09-17 08:30:00 AM,NZDJPY
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"0,6346","0,6345",Short,"1,000000000001",2015-09-17 08:30:00 AM,NZDUSD
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"1,3193","1,3194",Long,"0,99999999999989",2015-09-17 08:30:00 AM,USDCAD
"-0,5",1339,UK RS ex Auto MoM,0,True,30,"0,967","0,9676",Long,"6,00000000000045",2015-09-17 08:30:00 AM,USDCHF
"1,2",1339,UK RS ex Auto MoM,1,True,30,"0,9476","0,9469",Short,"7,00000000000034",2015-10-22 08:30:00 AM,AUDCAD
"1,2",1339,UK RS ex Auto MoM,1,True,30,"86,409","86,448",Long,"3,89999999999873",2015-10-22 08:30:00 AM,AUDJPY
