EIId,EIGroup,BloombergID,ReleaseName,Country,Description,ReleaseTime,Frequency,Source,Begin,QuoteUnits,Significance,DateLastDownload,StdDev,LocalTimeZone
101,101,AUBAC Index,AU Building Approvals MoM,AU,"ABS Code 8731.0 Building Approval: Tickers for sector AUBA contains seasonally adjusted data on the number and value of Dwelling Units (new houses, new other residential and conversions, etc) and Buildings approval in Australia. The figures are categorized by states and territories. Seasonally adjusted statistics reflect both irregular and trend movements, an upward or downward movement in a seasonally adjusted series does not necessarily indicate a change of trend           Australian Building Approvals                                                   ABS Code 8731                                                                   Total Dwelling Units building approvals in Australia                            Seasonally Adjusted                                                             Month on Month Change %",10:30,Monthly,Australian Bureau of Statistic,1980-08-31 12:00:00 AM,% CHANGE,2,2016-01-08 11:29:39 AM,"7,22662925720215",Pacific/Port_Moresby
102,102,AUCPICHG Index,AU CPI QoQ,AU,"ABS code: 6401.0                                                                The Consumer Price Index (CPI) measures quarterly changes in the price of a `basket' of goods and services, which comprises the following eleven groups of goods and services:  Food, Alcohol & Tobacco, Clothing & Footwear, Housing, Household Furnishings, Health, Transportation, Communication, Recreation, Education and Financial and insurance services. Data is based at 1989-90=100. From the September quarter 2012, all index numbers are calculated on a new index reference period of 2011-12=100. For figures of the previous reference period (89-90=100) see tickers that end with 0 on ALLX.",10:30,Quarterly,Australian Bureau of Statistic,1948-12-31 12:00:00 AM,2011-12=100,2,2016-01-08 11:29:40 AM,"0,269424825906754",Pacific/Port_Moresby
103,102,RBCPTRIQ Index,AU CPI Trimmed Mean QoQ,AU,"The 'Weighted Median' and 'Trimmed Mean' are calculated by the RBA using data from ABS Category Number 6401.0. Both measures exclude interest charges prior to the September quarter 1998 and are adjusted for the tax changes of 1999-2000. For calculating the 'Weighted Median' and the 'Trimmed Mean', where the CPI components are identified as having a seasonal pattern, quarterly price changes are estimated on a seasonally adjusted basis. These series are calculated using the previous quarter's effective expenditure weights. Please note that with effect from the June quarter 2007 issue, ABS is responsible for calculating the measures and will answer queries on the compilation and publication of the measures. RBA will maintain responsibility for the design of the measures and will answer queries on their design and use. The NSA series has hence been discontinued. For all indices, please run {ALLX RBCP<GO>}.                                             The 'Trimmed Mean' is calculated as the",10:30,Quarterly,Australian Bureau of Statistic,1982-06-30 12:00:00 AM,% CHANGE,2,2016-01-08 11:29:42 AM,"0,173421666026115",Pacific/Port_Moresby
104,102,AUCPIYOY Index,AU CPI YoY,AU,"ABS code: 6401.0                                                                The Consumer Price Index (CPI) measures quarterly changes in the price of a `basket' of goods and services, which comprises the following eleven groups of goods and services:  Food, Alcohol & Tobacco, Clothing & Footwear, Housing, Household Furnishings, Health, Transportation, Communication, Recreation, Education and Financial and insurance services. Data is based at 1989-90=100. From the September quarter 2012, all index numbers are calculated on a new index reference period of 2011-12=100. For figures of the previous reference period (89-90=100) see tickers that end with 0 on ALLX.                                                  For annual CPI All Items index levels, see AUCPI <Index> HP Y <Go>.  See AUCPIYOY <Index> HP Y <Go> for annual percentage change.",10:30,Quarterly,Australian Bureau of Statistic,1937-09-30 12:00:00 AM,% CHANGE,1,2016-01-08 11:29:44 AM,"0,261896431446075",Pacific/Port_Moresby
105,105,AULFEMPC Index,AU Employment,AU,"Australia Labor Force series.                                                   ABS code 6202.0 Labour Force: This data series provides estimates from the Monthly Population Survey on the Australia's civilian labour force employment status classified by gender, employment status (full/part time), states and territories and specific age groups. Survey includes all personnel aged 15 years and over except members of the permanent defense forces, overseas residents in Australia.",10:30,Monthly,Australian Bureau of Statistic,1978-03-31 12:00:00 AM,Net Change,2,2016-01-08 11:29:46 AM,"24,0432529449463",Pacific/Port_Moresby
106,105,AULFEMFC Index,AU Full Time Employment,AU,"Australia Labor Force series.                                                   ABS code 6202.0 Labour Force: This data series provides estimates from the Monthly Population Survey on the Australia's civilian labour force employment status classified by gender, employment status (full/part time), states and territories and specific age groups. Survey includes all personnel aged 15 years and over except members of the permanent defense forces, overseas residents in Australia.",10:30,Monthly,Australian Bureau of Statistic,1978-03-31 12:00:00 AM,Thousands,1,2016-01-08 11:29:48 AM,"28,8851585388184",Pacific/Port_Moresby
107,107,AUNAGDPC Index,AU GDP QoQ,AU,"All tickers in this sector (unless otherwise stated) comes from ABS5206 and contains estimates of gross domestic product (GDP) and its components, components of state final demand, the national income account, the national capital account and supporting series. GDP referenced here can be derived by three broad approaches: the income approach (I), the expenditure approach (E) and the production approach (P).                                                                      Gross Domestic Product - Quarter on Quarter % Change Chain volume measures - seasonally adjusted (ABS code: 5206) Annually-reweighted",10:30,Quarterly,Australian Bureau of Statistic,1959-12-31 12:00:00 AM,% CHANGE,2,2016-01-08 11:29:49 AM,"0,4573894739151",Pacific/Port_Moresby
108,107,AUNAGDPY Index,AU GDP YoY,AU,"All tickers in this sector (unless otherwise stated) comes from ABS5206 and contains estimates of gross domestic product (GDP) and its components, components of state final demand, the national income account, the national capital account and supporting series. GDP referenced here can be derived by three broad approaches: the income approach (I), the expenditure approach (E) and the production approach (P).                                                                      Gross Domestic Product - Year on Year % Change Chain volume measures - seasonally adjusted (ABC code: 5206) Annually-reweighted",10:30,Quarterly,Australian Bureau of Statistic,1960-09-30 12:00:00 AM,% CHANGE,1,2016-01-08 11:29:51 AM,"0,714856088161469",Pacific/Port_Moresby
109,109,AUHFCHG Index,AU Home Loans MoM,AU,"ABS code: 5609.0. Sector AUHF presents statistics on housing finance loans (commitments) made by significant lenders. This includes financial commitments for the purpose of Owner Occupied or Rent and Resale dwellings. Further breakdown separates statistics into various categories including type of housing (Established, New or in Construction), type of loan (Secured and Others) and whether homes are purchased by first home buyers. Commitments are published for two broad groupings of lender type: Banks and Non-Banks and the Non-Bank grouping furthur includes Permanent Building Societies and Wholesale Lenders.",10:30,Monthly,Australian Bureau of Statistic,1975-11-30 12:00:00 AM,% CHANGE,1,2016-01-08 11:29:53 AM,"2,21142363548279",Pacific/Port_Moresby
110,110,RBATCTR Index,AU Interest Rate,AU,"RBATCTR - RBA Official Cash Target Rate - is updated monthly on the ANNOUNCEMENT dates since 1990.  This index replaces the previous cash target index RBACTR Index (please refer to this ticker for historical data prior to 1990). For a daily update of the rate, please refer to RBACTRD Index.",13:30,Daily,Reserve Bank of Australia,1990-01-22 12:00:00 AM,%,3,2016-01-08 11:29:55 AM,"0,434504508972168",Pacific/Port_Moresby
111,105,AULFEMCP Index,AU Part Time Employment,AU,"Australia Labor Force series.                                                   ABS code 6202.0 Labour Force: This data series provides estimates from the Monthly Population Survey on the Australia's civilian labour force employment status classified by gender, employment status (full/part time), states and territories and specific age groups. Survey includes all personnel aged 15 years and over except members of the permanent defense forces, overseas residents in Australia.",10:30,Monthly,Australian Bureau of Statistic,1978-03-31 12:00:00 AM,THOUSANDS,1,2016-01-08 11:29:57 AM,"23,7183933258057",Pacific/Port_Moresby
112,105,AULFPART Index,AU Participation Rate,AU,Australia Labor Force series.                                                   Source: Australian Bureau of Statistics (ABS Code: 6202) Participation rate %   seasonally adjusted,10:30,Monthly,Australian Bureau of Statistic,1978-02-28 12:00:00 AM,%,1,2016-01-08 11:29:58 AM,"0,227216750383377",Pacific/Port_Moresby
113,113,AUPPFMOM Index,AU PPI QoQ,AU,"ABS Code 6427.0 Producer Price Index (PPI): Sector AUPP contains a range of PPIs aka Wholesale Price Indexes which relates to product which is primary to the specific industry, regardless of the industrial classification of establishments undertaking activity.  The PPIs are presented according to the stages of production followed by a set of standalone measures relating to specific industry sectors of the Australian Economy.The reference base year used for the derivation of data series is 1998-99=100. From the September quarter 2012, all index numbers are calculated on a new index reference period of 2011-12=100.",10:30,Quarterly,Australian Bureau of Statistic,1998-12-31 12:00:00 AM,% CHANGE,2,2016-01-08 11:30:00 AM,"0,500096142292023",Pacific/Port_Moresby
114,113,AUPPFYOY Index,AU PPI YoY,AU,"ABS Code 6427.0 Producer Price Index (PPI): Sector AUPP contains a range of PPIs aka Wholesale Price Indexes which relates to product which is primary to the specific industry, regardless of the industrial classification of establishments undertaking activity.  The PPIs are presented according to the stages of production followed by a set of standalone measures relating to specific industry sectors of the Australian Economy.The reference base year used for the derivation of data series is 1998-99=100. From the September quarter 2012, all index numbers are calculated on a new index reference period of 2011-12=100.",10:30,Quarterly,Australian Bureau of Statistic,1999-09-30 12:00:00 AM,% CHANGE,1,2016-01-08 11:30:02 AM,"1,33107817173004",Pacific/Port_Moresby
115,115,AURSTSA Index,AU RS MoM,AU,"ABS Code 8501This information shows the estimates of the value of turnover of retail trade businesses classified by industry, and by state and territory. The estimates of turnover are compiled from the monthly Retail Business Survey. About 500 'large' businesses are included in the survey every month, while a sample of about 2,750 'smaller' businesses is selected. The 'large' business' contribution of approximately 62% of the total estimate ensures a highly reliable Australian total turnover estimate.",10:30,Monthly,Australian Bureau of Statistic,1982-05-31 12:00:00 AM,% CHANGE,2,2016-01-08 11:30:04 AM,"0,650295317173004",Pacific/Port_Moresby
116,115,AURTURNQ Index,AU RS QoQ,AU,"This information presents estimates of the value of turnover of retail trade businesses classified by industry, and by state and territory. The estimates of turnover are compiled from the monthly Retail Business Survey. About 500 large businesses are included in the survey every month, while a sample of about 2,750 smaller businesses is selected. The large business contribution of approximately 62% of the total estimate ensures a highly reliable Australian total turnover estimate.",10:30,Quarterly,Australian Bureau of Statistic,1983-12-31 12:00:00 AM,% CHANGE,1,2016-01-08 11:30:05 AM,"0,388916969299316",Pacific/Port_Moresby
117,117,AUITGSB Index,AU Trade Balance,AU,"ABS Code 5368.0 This information contains initiatory estimates of Australia's International Trade in Goods and services categorized by countries. The 2 basis for the compilation of the data are namely the Balance of Payments Basis and the Merchandise Import and Export statistics recorded trade basis. Figures are derived from Free on Board (FOB) Values provided. FOB refers to the price of a traded good excluding transport cost such as travel insurance.Tickers on Page 5 ticker number 5 to Page 7 ticker number 10 are from the Australian Department of Foreign Affairs and Trade. Note from DFAT: 'Recorded trade exports data are based on information provided by exporters to the Australian Customs and Border Protection Service (Customs and Border Protection). At the time of initial reporting to Customs and Border Protection the final prices may not be known for some commodities. New contract prices that have been recently negotiated, or are still being negotiated, for commodities like iron ore",10:30,Monthly,Australian Bureau of Statistic,1971-07-31 12:00:00 AM,MILLIONS,2,2016-01-08 11:30:07 AM,"839,065856933594",Pacific/Port_Moresby
