ID,Release,Header,DateCreated,DateTime,HasTime,ReportDate,Actual,Prior,Revision,Consensus,EstimateHigh,EstimateLow,EstimateMedian,EstimateNumber,Deviation,Country,ReleaseName,ReleaseID
1,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-03-03 12:30:00 AM,False,0001-01-01 12:00:00 AM,"3,8",0,0,"-1,4",3,-6,-2,22,"5,2",AU,AU Building Approvals MoM,101
2,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-04-01 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-3,7",0,0,"-4,3",2,-8,-4,22,"0,6",AU,AU Building Approvals MoM,101
3,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-05-04 12:30:00 AM,False,0001-01-01 12:00:00 AM,5,0,0,-1,"5,1",-6,"-1,5",24,6,AU,AU Building Approvals MoM,101
4,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-06-01 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-4,9",0,0,"-1,6",2,"-6,5","-1,8",24,"-3,3",AU,AU Building Approvals MoM,101
5,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-07-01 12:30:00 AM,False,0001-01-01 12:00:00 AM,"3,9",0,0,"0,4","4,1",-4,"1,2",24,"3,5",AU,AU Building Approvals MoM,101
6,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-07-30 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-6,6",0,0,"-0,9","2,6",-5,-1,23,"-5,7",AU,AU Building Approvals MoM,101
7,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-09-01 12:30:00 AM,False,0001-01-01 12:00:00 AM,"9,7",0,0,"2,5","8,5",-3,3,22,"7,2",AU,AU Building Approvals MoM,101
8,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-09-30 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-10,2",0,0,"-1,8","2,5",-5,-2,22,"-8,4",AU,AU Building Approvals MoM,101
9,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-11-02 12:30:00 AM,False,0001-01-01 12:00:00 AM,"2,7",0,0,"0,9",4,-3,1,23,"1,8",AU,AU Building Approvals MoM,101
10,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-12-01 12:30:00 AM,False,0001-01-01 12:00:00 AM,"3,3",0,0,"-2,1","1,8","-4,9","-2,5",23,"5,4",AU,AU Building Approvals MoM,101
11,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2016-01-07 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-12,7",0,0,"-3,1",0,"-6,6",-3,17,"-9,6",AU,AU Building Approvals MoM,101
12,AU CPI QoQ,,2016-01-11 11:44:05 AM,2015-04-22 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,2",0,0,"0,2","0,5","-0,1","0,1",28,0,AU,AU CPI QoQ,102
13,AU CPI QoQ,,2016-01-11 11:44:05 AM,2015-07-22 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,7",0,0,"0,7",1,"0,3","0,8",27,0,AU,AU CPI QoQ,102
14,AU CPI QoQ,,2016-01-11 11:44:05 AM,2015-10-28 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,5",0,0,"0,7","0,8","0,4","0,7",29,"-0,2",AU,AU CPI QoQ,102
15,AU CPI Trimmed Mean QoQ,,2016-01-11 11:44:07 AM,2015-04-22 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,7",0,0,"0,5","0,7","0,3","0,6",25,"0,2",AU,AU CPI Trimmed Mean QoQ,103
16,AU CPI Trimmed Mean QoQ,,2016-01-11 11:44:07 AM,2015-07-22 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,6",0,0,"0,6","0,7","0,5","0,6",23,0,AU,AU CPI Trimmed Mean QoQ,103
